Date : 2023-03-06 16:35:47
Directory : /home/lewis/winterwell/my-loop
Total : 557 files,  51864 codes, 11483 comments, 6438 blanks, all 69785 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/lewis/winterwell/my-loop/config/vera-HP-EliteBook-830-G6.js                                  | JavaScript         |         17 |         10 |          4 |         31 |
| /home/lewis/winterwell/my-loop/config/wingpad.js                                                   | JavaScript         |         17 |          7 |          3 |         27 |
| /home/lewis/winterwell/my-loop/gitstamp.sh                                                         | Shell Script       |         17 |          4 |          3 |         24 |
| /home/lewis/winterwell/my-loop/jest-puppeteer.config.js                                            | JavaScript         |          9 |          0 |          2 |         11 |
| /home/lewis/winterwell/my-loop/package.json                                                        | JSON               |         98 |          0 |          1 |         99 |
| /home/lewis/winterwell/my-loop/pages/green/index.md                                                | Markdown           |          4 |          0 |          3 |          7 |
| /home/lewis/winterwell/my-loop/pages/ourstory.md                                                   | Markdown           |          2 |          0 |          1 |          3 |
| /home/lewis/winterwell/my-loop/production.server.project.builder.sh                                | Shell Script       |         12 |          1 |          0 |         13 |
| /home/lewis/winterwell/my-loop/runtest.js                                                          | JavaScript         |         92 |         22 |         15 |        129 |
| /home/lewis/winterwell/my-loop/runtestconfig.js                                                    | JavaScript         |         16 |          3 |          4 |         23 |
| /home/lewis/winterwell/my-loop/src/java/com/goodloop/myloop/MetaHtmlServlet.java                   | Java               |        225 |         49 |         33 |        307 |
| /home/lewis/winterwell/my-loop/src/java/com/goodloop/myloop/MyLoopMain.java                        | Java               |         18 |          3 |          5 |         26 |
| /home/lewis/winterwell/my-loop/src/js/C.js                                                         | JavaScript         |         17 |         10 |          8 |         35 |
| /home/lewis/winterwell/my-loop/src/js/CardEditorPage.jsx                                           | JavaScript React   |        144 |          8 |         23 |        175 |
| /home/lewis/winterwell/my-loop/src/js/CardPage.jsx                                                 | JavaScript React   |         19 |          1 |          7 |         27 |
| /home/lewis/winterwell/my-loop/src/js/MiscOverrides.jsx                                            | JavaScript React   |          8 |          1 |          4 |         13 |
| /home/lewis/winterwell/my-loop/src/js/README.md                                                    | Markdown           |          6 |          0 |          3 |          9 |
| /home/lewis/winterwell/my-loop/src/js/app.jsx                                                      | JavaScript React   |         12 |          3 |          6 |         21 |
| /home/lewis/winterwell/my-loop/src/js/base/CBase.js                                                | JavaScript         |         42 |         38 |         12 |         92 |
| /home/lewis/winterwell/my-loop/src/js/base/Profiler.js                                             | JavaScript         |          0 |          1 |          0 |          1 |
| /home/lewis/winterwell/my-loop/src/js/base/Roles.js                                                | JavaScript         |        103 |         43 |         12 |        158 |
| /home/lewis/winterwell/my-loop/src/js/base/Settings.js                                             | JavaScript         |          7 |          4 |          3 |         14 |
| /home/lewis/winterwell/my-loop/src/js/base/Shares.js                                               | JavaScript         |        100 |         59 |         17 |        176 |
| /home/lewis/winterwell/my-loop/src/js/base/components/AboutPage.jsx                                | JavaScript React   |         65 |         28 |         23 |        116 |
| /home/lewis/winterwell/my-loop/src/js/base/components/AccountMenu.jsx                              | JavaScript React   |         58 |         13 |         10 |         81 |
| /home/lewis/winterwell/my-loop/src/js/base/components/AccountPageWidgets.jsx                       | JavaScript React   |         52 |          4 |         11 |         67 |
| /home/lewis/winterwell/my-loop/src/js/base/components/BG.jsx                                       | JavaScript React   |         50 |         26 |          4 |         80 |
| /home/lewis/winterwell/my-loop/src/js/base/components/BSCarousel.jsx                               | JavaScript React   |         51 |         13 |          9 |         73 |
| /home/lewis/winterwell/my-loop/src/js/base/components/CSS.jsx                                      | JavaScript React   |          5 |         29 |          6 |         40 |
| /home/lewis/winterwell/my-loop/src/js/base/components/CardAccordion.jsx                            | JavaScript React   |         80 |         42 |         24 |        146 |
| /home/lewis/winterwell/my-loop/src/js/base/components/ChartWidget.jsx                              | JavaScript React   |        121 |         45 |         19 |        185 |
| /home/lewis/winterwell/my-loop/src/js/base/components/Circle.jsx                                   | JavaScript React   |         17 |          7 |          4 |         28 |
| /home/lewis/winterwell/my-loop/src/js/base/components/CloseButton.jsx                              | JavaScript React   |          8 |          6 |          4 |         18 |
| /home/lewis/winterwell/my-loop/src/js/base/components/Colour.jsx                                   | JavaScript React   |         50 |         21 |         15 |         86 |
| /home/lewis/winterwell/my-loop/src/js/base/components/CopyButton.jsx                               | JavaScript React   |         13 |          0 |          5 |         18 |
| /home/lewis/winterwell/my-loop/src/js/base/components/Counter.jsx                                  | JavaScript React   |         82 |         48 |         16 |        146 |
| /home/lewis/winterwell/my-loop/src/js/base/components/CustomHooks.jsx                              | JavaScript React   |         46 |         16 |         17 |         79 |
| /home/lewis/winterwell/my-loop/src/js/base/components/DataItemBadge.jsx                            | JavaScript React   |         23 |         17 |         10 |         50 |
| /home/lewis/winterwell/my-loop/src/js/base/components/DragDrop.jsx                                 | JavaScript React   |        223 |         91 |         32 |        346 |
| /home/lewis/winterwell/my-loop/src/js/base/components/DynImg.jsx                                   | JavaScript React   |        129 |         74 |         31 |        234 |
| /home/lewis/winterwell/my-loop/src/js/base/components/E404Page.jsx                                 | JavaScript React   |         12 |          0 |          5 |         17 |
| /home/lewis/winterwell/my-loop/src/js/base/components/Editor3ColLayout.jsx                         | JavaScript React   |         47 |         11 |          6 |         64 |
| /home/lewis/winterwell/my-loop/src/js/base/components/ErrAlert.jsx                                 | JavaScript React   |         23 |          7 |          3 |         33 |
| /home/lewis/winterwell/my-loop/src/js/base/components/ErrBoundary.jsx                              | JavaScript React   |         27 |          7 |          7 |         41 |
| /home/lewis/winterwell/my-loop/src/js/base/components/FilterUI.jsx                                 | JavaScript React   |         55 |         27 |          8 |         90 |
| /home/lewis/winterwell/my-loop/src/js/base/components/GoodLoopUnit.jsx                             | JavaScript React   |        146 |         84 |         45 |        275 |
| /home/lewis/winterwell/my-loop/src/js/base/components/IFrameWidget.jsx                             | JavaScript React   |         83 |         57 |         27 |        167 |
| /home/lewis/winterwell/my-loop/src/js/base/components/Icon.jsx                                     | JavaScript React   |         67 |         22 |          6 |         95 |
| /home/lewis/winterwell/my-loop/src/js/base/components/LinkOut.jsx                                  | JavaScript React   |         28 |         13 |          5 |         46 |
| /home/lewis/winterwell/my-loop/src/js/base/components/ListLoad.jsx                                 | JavaScript React   |        381 |        165 |         43 |        589 |
| /home/lewis/winterwell/my-loop/src/js/base/components/LivePreviewable.jsx                          | JavaScript React   |         22 |         14 |          9 |         45 |
| /home/lewis/winterwell/my-loop/src/js/base/components/LoginWidget.jsx                              | JavaScript React   |        349 |         56 |         68 |        473 |
| /home/lewis/winterwell/my-loop/src/js/base/components/Logo.jsx                                     | JavaScript React   |         24 |         11 |         11 |         46 |
| /home/lewis/winterwell/my-loop/src/js/base/components/MDText.jsx                                   | JavaScript React   |         60 |         17 |          7 |         84 |
| /home/lewis/winterwell/my-loop/src/js/base/components/MailTo.jsx                                   | JavaScript React   |          8 |          6 |          3 |         17 |
| /home/lewis/winterwell/my-loop/src/js/base/components/MainDivBase.jsx                              | JavaScript React   |        199 |         78 |         31 |        308 |
| /home/lewis/winterwell/my-loop/src/js/base/components/MessageBar.jsx                               | JavaScript React   |         36 |         11 |         10 |         57 |
| /home/lewis/winterwell/my-loop/src/js/base/components/Misc.jsx                                     | JavaScript React   |        522 |         55 |         35 |        612 |
| /home/lewis/winterwell/my-loop/src/js/base/components/NGODescription.jsx                           | JavaScript React   |         16 |          8 |          8 |         32 |
| /home/lewis/winterwell/my-loop/src/js/base/components/NGOImage.jsx                                 | JavaScript React   |         53 |         19 |          9 |         81 |
| /home/lewis/winterwell/my-loop/src/js/base/components/NavBar.jsx                                   | JavaScript React   |        192 |         71 |         28 |        291 |
| /home/lewis/winterwell/my-loop/src/js/base/components/NewChartWidget.jsx                           | JavaScript React   |         64 |         21 |          8 |         93 |
| /home/lewis/winterwell/my-loop/src/js/base/components/PNGDownloadButton.jsx                        | JavaScript React   |         48 |         26 |          8 |         82 |
| /home/lewis/winterwell/my-loop/src/js/base/components/PageCard.jsx                                 | JavaScript React   |         15 |          9 |          5 |         29 |
| /home/lewis/winterwell/my-loop/src/js/base/components/PaymentWidget.jsx                            | JavaScript React   |        262 |         65 |         44 |        371 |
| /home/lewis/winterwell/my-loop/src/js/base/components/PortalLink.jsx                               | JavaScript React   |         27 |         10 |          6 |         43 |
| /home/lewis/winterwell/my-loop/src/js/base/components/PropControl.jsx                              | JavaScript React   |        827 |        381 |        193 |      1,401 |
| /home/lewis/winterwell/my-loop/src/js/base/components/SavePublishDeleteEtc.jsx                     | JavaScript React   |        235 |         84 |         40 |        359 |
| /home/lewis/winterwell/my-loop/src/js/base/components/Scroll.jsx                                   | JavaScript React   |         15 |          5 |          3 |         23 |
| /home/lewis/winterwell/my-loop/src/js/base/components/ShareWidget.jsx                              | JavaScript React   |        203 |         52 |         38 |        293 |
| /home/lewis/winterwell/my-loop/src/js/base/components/SignatureSVG.jsx                             | JavaScript React   |         37 |          1 |          3 |         41 |
| /home/lewis/winterwell/my-loop/src/js/base/components/SimpleTable.jsx                              | JavaScript React   |        120 |        888 |         41 |      1,049 |
| /home/lewis/winterwell/my-loop/src/js/base/components/SocialShare.jsx                              | JavaScript React   |         36 |         11 |         10 |         57 |
| /home/lewis/winterwell/my-loop/src/js/base/components/StyleBlock.jsx                               | JavaScript React   |          5 |          6 |          2 |         13 |
| /home/lewis/winterwell/my-loop/src/js/base/components/SubCard.jsx                                  | JavaScript React   |          7 |          3 |          2 |         12 |
| /home/lewis/winterwell/my-loop/src/js/base/components/Tabs.jsx                                     | JavaScript React   |         45 |         14 |          7 |         66 |
| /home/lewis/winterwell/my-loop/src/js/base/components/TaskList.jsx                                 | JavaScript React   |        173 |         58 |         28 |        259 |
| /home/lewis/winterwell/my-loop/src/js/base/components/TestPage.jsx                                 | JavaScript React   |         24 |         12 |         11 |         47 |
| /home/lewis/winterwell/my-loop/src/js/base/components/WizardProgressWidget.jsx                     | JavaScript React   |        158 |         63 |         21 |        242 |
| /home/lewis/winterwell/my-loop/src/js/base/components/Wrap.jsx                                     | JavaScript React   |          8 |          6 |          3 |         17 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlAutoComplete.jsx     | JavaScript React   |         58 |         22 |         19 |         99 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlCode.jsx             | JavaScript React   |         63 |          7 |         13 |         83 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlDataItem.jsx         | JavaScript React   |        118 |         50 |         20 |        188 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlDataItemList.jsx     | JavaScript React   |         73 |         25 |         13 |        111 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlDate.jsx             | JavaScript React   |         45 |         53 |         16 |        114 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlDt.jsx               | JavaScript React   |         27 |         10 |         11 |         48 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlEgo.jsx              | JavaScript React   |         14 |        134 |         37 |        185 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlImg.jsx              | JavaScript React   |         17 |          0 |          8 |         25 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlList.jsx             | JavaScript React   |         91 |         25 |         26 |        142 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlMediaObject.jsx      | JavaScript React   |         19 |          6 |          6 |         31 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlMoney.jsx            | JavaScript React   |         87 |         23 |         12 |        122 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlPeriod.jsx           | JavaScript React   |         88 |         27 |          8 |        123 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlPerson.jsx           | JavaScript React   |         13 |          3 |          5 |         21 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlPills.jsx            | JavaScript React   |         51 |         13 |          9 |         73 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlPlace.jsx            | JavaScript React   |         26 |          6 |          9 |         41 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlQuotation.jsx        | JavaScript React   |         19 |          3 |          4 |         26 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlSelection.jsx        | JavaScript React   |         63 |         29 |         17 |        109 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlToggle.jsx           | JavaScript React   |         57 |         18 |         13 |         88 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlUpload.jsx           | JavaScript React   |        199 |         59 |         46 |        304 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControlUrl.jsx              | JavaScript React   |         16 |          2 |          7 |         25 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/PropControls.jsx                | JavaScript React   |         13 |         10 |          5 |         28 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/Tags.jsx                        | JavaScript React   |          0 |        195 |         36 |        231 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/UserClaimControl.jsx            | JavaScript React   |        165 |         65 |         23 |        253 |
| /home/lewis/winterwell/my-loop/src/js/base/components/propcontrols/validators.js                   | JavaScript         |         18 |          3 |          4 |         25 |
| /home/lewis/winterwell/my-loop/src/js/base/data/AThing.js                                          | JavaScript         |          7 |         14 |          5 |         26 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Advert.js                                          | JavaScript         |         84 |         50 |         21 |        155 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Advertiser.js                                      | JavaScript         |         40 |         24 |          8 |         72 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Agency.js                                          | JavaScript         |         22 |         10 |          4 |         36 |
| /home/lewis/winterwell/my-loop/src/js/base/data/BlogPost.js                                        | JavaScript         |         23 |         18 |         12 |         53 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Branding.js                                        | JavaScript         |         36 |         33 |         21 |         90 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Campaign.js                                        | JavaScript         |        418 |        252 |         72 |        742 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Chat.js                                            | JavaScript         |         41 |         18 |         13 |         72 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Claim.js                                           | JavaScript         |         66 |         53 |         11 |        130 |
| /home/lewis/winterwell/my-loop/src/js/base/data/CountryRegion.js                                   | JavaScript         |        502 |          0 |          1 |        503 |
| /home/lewis/winterwell/my-loop/src/js/base/data/DataClass.js                                       | JavaScript         |        158 |        163 |         32 |        353 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Dt.ts                                              | TypeScript         |         19 |          0 |          8 |         27 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Ego.js                                             | JavaScript         |          0 |         57 |         15 |         72 |
| /home/lewis/winterwell/my-loop/src/js/base/data/FilterButton.js                                    | JavaScript         |          8 |          4 |          3 |         15 |
| /home/lewis/winterwell/my-loop/src/js/base/data/GreenTag.js                                        | JavaScript         |        106 |         46 |         18 |        170 |
| /home/lewis/winterwell/my-loop/src/js/base/data/ImageObject.js                                     | JavaScript         |         11 |          5 |          4 |         20 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Impact.js                                          | JavaScript         |         38 |         21 |          8 |         67 |
| /home/lewis/winterwell/my-loop/src/js/base/data/JSend.js                                           | JavaScript         |         47 |         55 |         15 |        117 |
| /home/lewis/winterwell/my-loop/src/js/base/data/KStatus.js                                         | JavaScript         |          3 |          7 |          4 |         14 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Link.js                                            | JavaScript         |          5 |          5 |          6 |         16 |
| /home/lewis/winterwell/my-loop/src/js/base/data/List.js                                            | JavaScript         |         69 |         58 |         15 |        142 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Money.js                                           | JavaScript         |        302 |        172 |         51 |        525 |
| /home/lewis/winterwell/my-loop/src/js/base/data/MoneyItem.js                                       | JavaScript         |         12 |          4 |          3 |         19 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Msg.js                                             | JavaScript         |         26 |          2 |          7 |         35 |
| /home/lewis/winterwell/my-loop/src/js/base/data/NGO.js                                             | JavaScript         |        107 |         28 |         18 |        153 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Person.js                                          | JavaScript         |        388 |        267 |         60 |        715 |
| /home/lewis/winterwell/my-loop/src/js/base/data/README.md                                          | Markdown           |          7 |          0 |          5 |         12 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Share.js                                           | JavaScript         |         12 |         13 |          6 |         31 |
| /home/lewis/winterwell/my-loop/src/js/base/data/T4GTheme.js                                        | JavaScript         |         16 |          1 |          3 |         20 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Task.js                                            | JavaScript         |         63 |         27 |         16 |        106 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Transfer.js                                        | JavaScript         |         45 |         13 |          6 |         64 |
| /home/lewis/winterwell/my-loop/src/js/base/data/Tree.js                                            | JavaScript         |        146 |        109 |         17 |        272 |
| /home/lewis/winterwell/my-loop/src/js/base/data/XId.js                                             | JavaScript         |         59 |         44 |         10 |        113 |
| /home/lewis/winterwell/my-loop/src/js/base/i18n.js                                                 | JavaScript         |        254 |        226 |         35 |        515 |
| /home/lewis/winterwell/my-loop/src/js/base/plumbing/ActionManBase.js                               | JavaScript         |          3 |          1 |          4 |          8 |
| /home/lewis/winterwell/my-loop/src/js/base/plumbing/Crud.js                                        | JavaScript         |        504 |        239 |         56 |        799 |
| /home/lewis/winterwell/my-loop/src/js/base/plumbing/DataLog.js                                     | JavaScript         |         70 |         35 |         13 |        118 |
| /home/lewis/winterwell/my-loop/src/js/base/plumbing/DataStore.js                                   | JavaScript         |        472 |        353 |         79 |        904 |
